scraped_by_user,class_number,class_title,subject_catalog,academic_career
BE23CS060,1611,Data Analytics,CS BCS-052,Undergraduate
BE23CS060,1640,Machine Learning Techniques,CS BCS-055,Undergraduate
BE23CS060,1496,Database Management System,CS BCS-501,Undergraduate
BE23CS060,1498,Database Management System,CS BCS-501,Undergraduate
BE23CS060,1497,Database Management System,CS BCS-501,Undergraduate
BE23CS060,1494,Database Management System,CS BCS-501,Undergraduate
BE23CS060,1520,Web Technology,CS BCS-502,Undergraduate
BE23CS060,1521,Web Technology,CS BCS-502,Undergraduate
BE23CS060,1519,Web Technology,CS BCS-502,Undergraduate
BE23CS060,1517,Web Technology,CS BCS-502,Undergraduate
BE23CS060,1534,Design & Analysis Of Algorithm,CS BCS-503,Undergraduate
BE23CS060,1538,Design & Analysis Of Algorithm,CS BCS-503,Undergraduate
BE23CS060,1537,Design & Analysis Of Algorithm,CS BCS-503,Undergraduate
BE23CS060,1536,Design & Analysis Of Algorithm,CS BCS-503,Undergraduate
BE23CS060,1561,DATABASE MANAGEMENT SYSTEM LAB,CS BCS-551,Undergraduate
BE23CS060,1562,DATABASE MANAGEMENT SYSTEM LAB,CS BCS-551,Undergraduate
BE23CS060,1591,Web Technology Lab,CS BCS-552,Undergraduate
BE23CS060,1592,Web Technology Lab,CS BCS-552,Undergraduate
BE23CS060,1577,Design&Analysis Algorithms Lab,CS BCS-553,Undergraduate
BE23CS060,1576,Design&Analysis Algorithms Lab,CS BCS-553,Undergraduate
BE23CS060,1555,Essence of Indian Tr Knowledge,HU BNC-502,Undergraduate
BE23CS060,1554,Essence of Indian Tr Knowledge,HU BNC-502,Undergraduate
BE23CS013,1611,Data Analytics,CS BCS-052,Undergraduate
BE23CS013,1653,Data Warehousing & Data Mining,CS BCS-058,Undergraduate
BE23CS013,1494,Database Management System,CS BCS-501,Undergraduate
BE23CS013,1495,Database Management System,CS BCS-501,Undergraduate
BE23CS013,1518,Web Technology,CS BCS-502,Undergraduate
BE23CS013,1517,Web Technology,CS BCS-502,Undergraduate
BE23CS013,1534,Design & Analysis Of Algorithm,CS BCS-503,Undergraduate
BE23CS013,1535,Design & Analysis Of Algorithm,CS BCS-503,Undergraduate
BE23CS013,1560,DATABASE MANAGEMENT SYSTEM LAB,CS BCS-551,Undergraduate
BE23CS013,1590,Web Technology Lab,CS BCS-552,Undergraduate
BE23CS013,1575,Design&Analysis Algorithms Lab,CS BCS-553,Undergraduate
BE23CS013,2016,Artificial Intelligence,CS BCS-701,Undergraduate
BE23CS013,2017,Artificial Intelligence,CS BCS-701,Undergraduate
BE23CS013,2042,Artificial Intelligence Lab,CS BCS-751,Undergraduate
BE23CS013,2061,Mini Project or Internship Ass,CS BCS-752,Undergraduate
BE23CS013,2078,PROJECT-I,CS BCS-753,Undergraduate
BE23CS013,2097,Startup and EA Assessment,CS BCS-754,Undergraduate
BE23CS013,1554,Essence of Indian Tr Knowledge,HU BNC-502,Undergraduate
